Date,Close
3/5/18,96.13
3/6/18,97.79
3/7/18,98.75
3/8/18,98.22
3/9/18,99.89
3/12/18,100.91
3/13/18,100.49
3/14/18,99.86
3/15/18,99.87
3/16/18,100.83
3/19/18,100.64
3/20/18,100.23
3/21/18,100.99
3/22/18,98.71
3/23/18,95.68
3/26/18,99.74
3/27/18,97.67
3/28/18,98.12
3/29/18,98.99
4/2/18,96.94
4/3/18,98.59
4/4/18,99.9
4/5/18,100.46
4/6/18,98.73
4/9/18,98.4
4/10/18,101.17
4/11/18,101.12
4/12/18,103.18
4/13/18,102.3
4/16/18,102.59
4/17/18,100.99
4/18/18,100.22
4/19/18,101.34
4/20/18,102.07
4/23/18,103.41
4/24/18,103.52
4/25/18,105.14
4/26/18,102.66
4/27/18,102.5
4/30/18,100.68
5/1/18,100.9
5/2/18,100.68
5/3/18,99.98
5/4/18,101.35
5/7/18,101.9
5/8/18,102.18
5/9/18,103.28
5/10/18,103.23
5/11/18,103.59
5/14/18,103.53
5/15/18,104.68
5/16/18,104.97
5/17/18,104.84
5/18/18,104.13
5/21/18,105.26
5/22/18,104.8
5/23/18,104.21
5/24/18,103.17
5/25/18,102.4
5/29/18,100.43
5/30/18,102.27
5/31/18,100.95
6/1/18,102.5
6/4/18,103.55
6/5/18,103.34
6/6/18,105.02
6/7/18,104.8
6/8/18,104.94
6/11/18,103.3
6/12/18,102.63
6/13/18,102.3
6/14/18,102.09
6/15/18,101.91
6/18/18,96.06
6/19/18,97.99
6/20/18,97.9
6/21/18,97.65
6/22/18,97.04
6/25/18,96.96
6/26/18,95.76
6/27/18,93.02
6/28/18,94.38
6/29/18,94.01
7/2/18,94.3
7/3/18 13:00,93.8
7/5/18,95.03
7/6/18,95.69
7/9/18,97.45
7/10/18,96.28
7/11/18,96.22
7/12/18,95.27
7/13/18,95.53
7/16/18,95.99
7/17/18,96.01
7/18/18,97.14
7/19/18,97.22
7/20/18,98.15
7/23/18,99.41
7/24/18,98.41
7/25/18,99.03
7/26/18,98.91
7/27/18,99.1
7/30/18,98.46
7/31/18,97.33
8/1/18,98.49
8/2/18,98.92
8/3/18,97.93
8/6/18,98.3
8/7/18,98.79
8/8/18,99.43
8/9/18,98.96
8/10/18,98.48
8/13/18,97.54
8/14/18,98.59
8/15/18,98.01
8/16/18,99.43
8/17/18,99.78
8/20/18,99.8
8/21/18,101.24
8/22/18,101.5
8/23/18,101.68
8/24/18,101.53
8/27/18,101.96
8/28/18,101.85
8/29/18,102.25
8/30/18,102.06
8/31/18,102.55
9/4/18,103.36
9/5/18,103.65
9/6/18,103.62
9/7/18,104.57
9/10/18,104.13
9/11/18,104.41
9/12/18,102.55
9/13/18,103.06
9/14/18,103.31
9/17/18,102.79
9/18/18,103.01
9/19/18,103.87
9/20/18,104.78
9/21/18,104.74
9/24/18,103
9/25/18,103
9/26/18,101.09
9/27/18,99.42
9/28/18,97.28
10/1/18,97.5
10/2/18,94.22
10/3/18,96.83
10/4/18,96.53
10/5/18,96.13
10/8/18,96.47
10/9/18,96.23
10/10/18,95.23
10/11/18,92.58
